"id","line_id","example","translation","created_at","updated_at"
1,1,"Technological change will `*create* new ways of living`.","技術の変化は`新たな生活様式を*創り出す*`。","2023/9/9 7:15","2024/6/21 12:38"
2,2,"Japan’s real GDP `*increased* by 1.9 percent` last year.","日本の実質GDPは昨年`1.9%*増加した*`。","2023/9/9 7:15","2024/6/21 12:40"
3,3,"Light exercise `*improves* thinking ability`.","軽い運動は`思考力を*向上させる*`。","2023/9/9 7:15","2024/6/21 12:42"
4,4,"`Her silence *means* that she does not agree` with you.","`彼女の沈黙は彼女が`あなたに`同意していないことを*意味する*`。","2023/9/9 7:15","2024/6/21 12:43"
5,5,"A millionaire from China `*owns* this hotel`.","中国の富豪が`このホテルを*所有している*`。","2023/9/9 7:15","2024/6/21 12:44"
6,6,"`Jane’s word *includes* typing letters` and making appointments.","`ジェーンの仕事は手紙をタイプ`したり、アポを取ったり`することを*含む*`。","2023/9/9 7:15","2024/6/21 12:46"
7,7,"She `*considers* herself to be lucky`.","彼女は`自分自身を幸運だと*見なしている*`。","2023/9/9 7:15","2024/6/21 12:47"
8,8,"The company `*allows* its employees to take long winter vacations`.","その会社は`従業員が長い冬季休暇を取ることを*許している*`。","2023/9/9 7:15","2024/6/21 12:48"
9,9,"The teacher `*suggested* that he study physics` in university.","先生は彼が大学で`物理学を学ぶことを*提案した*`。","2023/9/9 7:15","2024/6/21 12:50"
10,10,"The manufacturer `*produces* home electrical appliances`.","その製造業者は`家庭用電化製品を*生産している*`。","2023/9/9 7:15","2024/6/21 12:51"
11,11,"She `has *decided* to memorize ten English words` a day.","彼女は1日に`10個の英単語を覚えることを*決めた*`。","2023/9/9 7:15","2024/6/21 12:52"
12,12,"Uncle George `*offered* me an opportunity` to work for his company.","ジョージおじさんは彼の会社で働く`機会を私に*提供した*`。","2023/9/9 7:15","2024/6/21 12:53"
13,13,"The Road Traffic Law `*requires* you to wear a seat belt`.","道路交通法はあなたが`シートベルトを着用することを*要求する*`。","2023/9/9 7:15","2024/6/21 12:54"
14,14,"I `*share* my office space with other people`.","私は`ほかの人々と事務所スペースを*共有している*`。","2023/9/9 7:15","2024/6/21 12:55"
15,15,"You should `*store* backups of data on the Internet` regularly.","定期的に`インターネットにデータのバックアップを*保存する*`べきだ。","2023/9/9 7:15","2024/6/21 13:03"
16,16,"My town `*tends* to get windy`.","私の街は`風がよく吹く*傾向がある*`。","2023/9/9 7:15","2024/6/21 13:05"
17,17,"We `are *concerned* about the negative effect `of the new tax law.","私たちは`新しい税法のマイナス効果を*心配している*`。","2023/9/9 7:15","2024/6/21 13:06"
18,18,"She `*described* her physical condition` to her doctor.","彼女は医師に`自分の体調を*説明した*`。","2023/9/9 7:15","2024/6/21 13:07"
19,19,"In Japan, more and more men `are *involved* in raising children`.","日本では、`子育てに*関わる*`男性が増えている。","2023/9/9 7:15","2024/6/21 13:08"
20,20,"Good eating habits can `*reduce* the risk of heart disease`.","よい食習慣は`心疾患の危険を*軽減し*`うる。","2023/9/9 7:15","2024/6/21 13:10"
21,21,"`Airbags are *designed* to protect` average-sized adult males.","`エアバッグは`平均的な体格の成人男性を`保護するように*設計さ*れている`。","2023/9/9 7:15","2024/6/21 13:11"
22,22,"The scandal `*forced* the CEO to resign` from his position.","そのスキャンダルは`CEOに`その地位を`辞することを*強いた*`。","2023/9/9 7:15","2024/6/21 13:13"
23,23,"`“Tweets” were originally *limited* to 140 characters`.","`「ツイート」は元は140文字までに*限ら*れていた`。","2023/9/9 7:15","2024/6/21 14:55"
24,24,"The man `could not *bear* his stomachache`.","その男性は`胃の痛みに*耐える*ことができなかった`。","2023/9/9 7:15","2024/6/21 14:56"
25,25,"Your language can `*affect* your way of thinking`.","あなたの使う言語は`あなたの考え方に*影響を及ぼす*`可能性がある。","2023/9/9 7:15","2024/6/21 14:57"
26,26,"Our team `*deals* with complaints from out customers`.","我がチームは`顧客からの苦情を*処理する*`。","2023/9/9 7:15","2024/6/21 14:58"
27,27,"She somehow `*avoided* getting involved in the quarrel`.","彼女はどうにか`その口論に巻き込まれるのを*避けた*`。","2023/9/9 7:15","2024/6/21 14:59"
28,28,"She believes that `people’s blood types are *related* to their personalities`.","彼女は`人の血液型はその人の性格に*関連して*いる`と信じている。","2023/9/9 7:15","2024/6/21 15:00"
29,29,"She `*realized* that she was put in a difficult position`.","彼女は`自分が難しい立場に置かれていることに*気付いた*`。","2023/9/9 7:15","2024/6/21 15:02"
30,30,"Many company `*encourages* their employees not to work over time`.","多くの会社は`従業員に残業をしないように*奨励している*`。","2023/9/9 7:15","2024/6/21 15:03"
31,31,"She `*compared* the Japanese economy with the U.S. economy`.","彼女は`日本経済をアメリカ経済と*比較した*`。","2023/9/9 7:15","2024/6/21 15:04"
32,32,"She `*measures* her temperature` every morning.","彼女は毎朝`体温を*測る*`。","2023/9/9 7:15","2024/6/21 15:11"
33,33,"Some linguists think that `about 8,000 languages *exist* in the world`.","言語学者の中には`世界には約8,000の言語が*存在する*`と考える人もいる。","2023/9/9 7:15","2024/6/21 15:12"
34,34,"During the test, the students `*marked* his answers with a pencil`.","テスト中に、その生徒は`鉛筆で自分の回答に*印を付けた*`。","2023/9/9 7:15","2024/6/21 15:14"
